  数  【かず】  number, amount
  通う  【かよう】  to go to and from (a place), to go back and forth between, to run between (e.g. bus, train, etc.), to ply between, to go to (school, work, etc.), to attend, to commute, to frequent, to circulate (e.g. blood, electricity), to be communicated (e.g. thought), to resemble

  門  【もん】  gate, branch of learning based on the teachings of a single master, division, phylum, counter for cannons
  門出  【かどで】  leaving one's own house (e.g. when going to war), departure, setting out, starting a new life, starting life anew
  帝  【みかど】  emperor (of Japan), mikado, (the gates of an) imperial residence
  戸  【と】  door (esp. Japanese-style), shutter, window shutter, entrance (to a home), narrows
  門浪  【となみ】  waves in narrow straits
  鳴門  【なると】  strait with a roaring tidal ebb and flow, whirlpool, maelstrom, kamaboko with a spiral whirlpool-like pattern, cooking technique where ingredients are cut in a spiral pattern, Naruto, city in NE Tokushima pref, Naruto Strait, Naruto wakame
  顎門  【あぎと】  chin, jaw, gills, branchia

  道  【みち】  road, street, way, path, course, route, lane, distance, ways (e.g. "a long ways"), the way (of proper conduct, etc.), one's way, morals, teachings (esp. Confucian or Buddhist), dogma, field (of medicine, etc.), subject, way, method, means
  道順  【みちじゅん】  itinerary, route
  寄り道  【よりみち】  dropping in on the way, stopping off at, making a side trip, going the long way round, making a detour
  筋道  【すじみち】  reason, logic, method, system, order, thread (e.g. of an argument)

  話す  【はなす】  to talk, to speak, to converse, to chat, to tell, to explain, to narrate, to mention, to describe, to discuss, to speak (a language)
  話  【はなし】  talk, speech, chat, story, conversation, discussions, negotiation, argument
  話し合う  【はなしあう】  to discuss, to talk together
  お話  【おはなし】  story, tale
  いい話  【いいはなし】  good story (e.g. heartwarming), good prospect (e.g. marriage, business)

  言う  【いう】  to say, to utter, to declare, to name, to call, to go (e.g. "the alarm went ping"), to make a noise
  言うまでもない  【いうまでもない】  it goes without saying, there is no need to say so, but of course, it is needless to say, it need scarcely be said
  言  【げん】  word, remark, statement
  言葉  【ことば】  language, dialect, word, words, phrase, term, expression, remark, speech, (manner of) speaking
  戯言  【たわごと】  nonsense, silly talk, drivel, rubbish
  伝言  【つてこと】  verbal message, word, rumour, rumor

  答える  【こたえる】  to answer, to reply
  答え  【こたえ】  answer, reply, response, solution
  答える  【こたえる】  to answer, to reply

  声  【こえ】  voice
  声が枯れる  【こえがかれる】  to become hoarse
  一声  【いっせい】  voice, cry, shout
  険しい声  【けわしいこえ】  sharp voice

  聞く  【きく】  to hear, to listen (e.g. to music), to ask, to enquire, to query, to learn of, to hear about, to follow (advice), to comply with, to smell (esp. incense), to sample fragrance
  聞く耳を持たない  【きくみみをもたない】  to turn a deaf ear to, to not listen to, to not get the message
  聞こえる  【きこえる】  to be heard, to be audible, to be said to be, to be reputed

  語る  【かたる】  to talk about, to speak of, to tell, to narrate, to recite, to chant, to indicate, to show
  語るに落ちる  【かたるにおちる】  to let slip a secret, to let the cat out of the bag
  語らう  【かたらう】  to talk, to tell, to recite, to pledge, to conspire with
  語らうに友無く  【かたらうにともなく】  with no friend to talk to

  読む  【よむ】  to read, to count, to guess, to predict, to read (someone's thoughts), to see (e.g. into someone's heart), to divine

  書く  【かく】  to write, to compose, to pen, to draw, to paint

  記す  【しるす】  to write down, to note, to jot down, to remember

  紙  【かみ】  paper
  紙屑  【かみくず】  wastepaper, paper scraps, paper waste
  インディア紙  【インディアかみ】  India paper
  蝋紙  【ろうかみ】  wax paper

  描く  【えがく】  to draw, to paint, to sketch, to depict, to describe, to picture in one's mind, to imagine, to form a certain shape (e.g. path of an action, appearance of an object, etc.)
  画する  【かくする】  to draw (a line), to demarcate, to mark, to divide, to map out, to plan



  図る  【はかる】  to plan, to attempt, to devise, to plot, to conspire, to scheme, to aim for, to strive for, to work towards, to seek, to deceive, to trick, to take in



  教える  【おしえる】  to teach, to instruct, to tell, to inform, to preach
  教わる  【おそわる】  to be taught (by), to learn from

  晴れる  【はれる】  to clear up, to clear away, to be sunny, to stop raining, to refresh (e.g. spirits), to be cleared (e.g. of a suspicion), to be dispelled, to be banished
  晴れ  【はれ】  clear weather, fine weather, formal, ceremonial, public, cleared of suspicion
  晴れる  【はれる】  to clear up, to clear away, to be sunny, to stop raining, to refresh (e.g. spirits), to be cleared (e.g. of a suspicion), to be dispelled, to be banished
  晴らす  【はらす】  to dispel, to clear away, to refresh (oneself), to accomplish a goal, to make it sunny, to make clouds disappear

  思う  【おもう】  to think, to consider, to believe, to think (of doing), to plan (to do), to judge, to assess, to regard, to imagine, to suppose, to dream, to expect, to look forward to, to feel, to desire, to want, to recall, to remember
  思う存分  【おもうぞんぶん】  to one's heart's content

  考える  【かんがえる】  to think about, to take into consideration, to ponder, to reflect, to try to come at a conclusion, to think over (something), to intend, to decide (to do), to plan, to come up with, to devise, to scheme, to predict, to anticipate, to expect, to suspect, to doubt, to consider (somebody to be something), to look on
  考え  【かんがえ】  thinking, thought, view, opinion, concept, idea, notion, imagination, intention, plan, design, consideration, judgement, deliberation, reflection, wish, hope, expectation
  考える  【かんがえる】  to think about, to take into consideration, to ponder, to reflect, to try to come at a conclusion, to think over (something), to intend, to decide (to do), to plan, to come up with, to devise, to scheme, to predict, to anticipate, to expect, to suspect, to doubt, to consider (somebody to be something), to look on

  知る  【しる】  to be aware of, to know, to be conscious of, to cognize, to cognise, to notice, to feel, to understand, to comprehend, to grasp, to remember, to be acquainted with (a procedure), to experience, to go through, to learn, to be acquainted with (a person), to get to know, to concern
  知る限り  【しるかぎり】  as far as I know
  吾唯足知  【われただたるをしる】  I am content with what I am (have), Rich is the person who is content with what he is
  知らせる  【しらせる】  to notify, to advise, to inform



  理  【ことわり】  reason, logic, sense, natural way of things

  算盤  【そろばん】  abacus
  算盤勘定  【そろばんかんじょう】  counting on the abacus, cost-benefit calculation, profit calculation
  電算  【でんそろ】  electronic calculator combined with a soroban

  作る  【つくる】  to make, to produce, to manufacture, to build, to construct, to prepare (food), to brew (alcohol), to raise, to grow, to cultivate, to train, to till, to draw up (a document), to make out, to prepare, to write, to create (an artistic work, etc.), to compose, to coin (a phrase), to organize, to organise, to establish, to found, to have (a child), to make up (one's face, etc.), to fabricate (an excuse, etc.), to form (a line, etc.), to set (a record), to commit (a sin, etc.)
  作り  【つくり】  making, producing, manufacturing, building, construction, make, structure, appearance (i.e. attire, make-up), build (i.e. physique), sashimi, forced (smile, etc.)
  作り上げる  【つくりあげる】  to build up, to complete, to construct, to create, to put together, to make up, to fabricate, to invent, to cook up

  元  【もと】  origin, source, base, basis, foundation, root, cause, ingredient, material, (somebody's) side, (somebody's) location, original cost (or capital, principal, etc.), (plant) root, (tree) trunk, first section of a waka, counter for blades of grass, tree trunks, etc., and for falcons (in falconry), handle (chopsticks, brush, etc.), grip
  元  【もと】  former, ex-, past, one-time
  耳元  【みみもと】  close to the ear
  家元  【いえもと】  head of a school (of music, dance), head family of a school

  食う  【くう】  to eat, to live, to make a living, to survive, to bite, to sting (as insects do), to tease, to torment, to taunt, to make light of, to make fun of, to encroach on, to eat into, to consume, to defeat a superior, to threaten a position, to consume time and-or resources, to receive something (usu. an unfavourable event), to have sexual relations with a woman, esp. for the first time
  食うや食わず  【くうやくわず】  (living) from hand to mouth, living on the fringe of subsistance
  食らう  【くらう】  to eat, to drink, to receive (e.g. a blow)
  食べる  【たべる】  to eat, to live on (e.g. a salary), to live off, to subsist on
  食む  【はむ】  to eat (fodder, grass, etc.), to receive (a salary), to receive a stipend from one's lord

  肉  【にく】  flesh, meat, the physical body (as opposed to the spirit), thickness, ink pad
  肉合い  【ししあい】  fleshiness, plumpness
  鹿  【かのしし】  deer meat, deer

  馬  【うま】  horse, horse racing, promoted bishop
  馬が合う  【うまがあう】  to get on well (with a person), to be a good match with one's horse (e.g. of a rider)
  白馬  【はくば】  white horse, unrefined sake
  干し草を付けた馬  【ほしくさをつけたうま】  horse loaded with hay
  馬尼剌  【マニラ】  Manila
  馬子にも衣装  【まごにもいしょう】  anybody can look good with the right clothes, clothes make the man, fine feathers make fine birds, clothes on a packhorse driver
  白馬  【はくば】  white horse, unrefined sake
  干し草を付けた馬  【ほしくさをつけたうま】  horse loaded with hay

  牛  【うし】  cattle (Bos taurus), cow, bull, ox, calf, beef, Chinese "Ox" constellation (one of the 28 mansions)
  牛車  【ぎゅうしゃ】  ox carriage (for Heian era nobles), oxcart
  去勢牛  【きょせいうし】  ox, bullock
  麝香牛  【じゃこううし】  muskox (Ovibos moschatus), musk ox

  魚  【さかな】  fish
  魚市場  【うおいちば】  fish market
  生魚  【せいぎょ】  raw fish, fresh fish
  活魚  【かつぎょ】  live fish and shellfish (kept in a tank in a restaurant)
  魚  【さかな】  fish
  魚釣り  【さかなつり】  fishing
  焼き立ての魚  【やきたてのさかな】  fish hot from the oven
  旬の魚  【しゅんのさかな】  fish in season

  鳥  【とり】  bird, bird meat (esp. chicken meat), fowl, poultry
  鳥居  【とりい】  torii, Shinto shrine archway
  焼き鳥  【やきとり】  yakitori, chicken pieces (or sometimes beef or pork offal) grilled on a skewer, grilled and skewered bird (esp. sparrow), failing to win a single hand during a half-game
  花鶏  【あとり】  brambling (bird) (Fringilla montifringilla)

  羽  【はね】  feather, plume, down, wing, blade (of a fan, propeller, etc.), shuttlecock, arrow feathers
  羽目  【はめ】  panel, wainscoting, wainscotting, plight, fix, bind, awkward situation, difficult situation, mess
  白羽  【しらは】  white feather
  切り羽  【きりは】  face (of a wall of coal or ore, etc.), working face (of a mine)
  羽  【わ】  counter for birds and rabbits
  羽  【はね】  feather, plume, down, wing, blade (of a fan, propeller, etc.), shuttlecock, arrow feathers
  羽蟻  【はあり】  winged ant, flying ant

  鳴く  【なく】  to sing (bird), to make sound (animal), to call, to cry, to chirp, to make a meld call (e.g. pung, kong)
  鳴く蝉よりも鳴かぬ蛍が身を焦がす  【なくせみよりもなかぬほたるがみをこがす】  empty vessels make the most noise, the silent firefly burns with more passion than the crying cicada
  鳴る  【なる】  to sound, to ring, to resound, to echo, to roar, to rumble
  鳴門  【なると】  strait with a roaring tidal ebb and flow, whirlpool, maelstrom, kamaboko with a spiral whirlpool-like pattern, cooking technique where ingredients are cut in a spiral pattern, Naruto, city in NE Tokushima pref, Naruto Strait, Naruto wakame
  鳴らす  【ならす】  to ring, to sound, to chime, to beat, to snort (nose), to snap (fingers), to be popular, to be esteemed, to be reputed, to state, to insist, to complain, to fart (loudly)

  麦  【むぎ】  wheat, barley, oat (oats)
  麦茶  【むぎちゃ】  barley tea
  はだか麦  【はだかむぎ】  naked barley (Hordeum vulgare var. nudum)
  毒麦  【どくむぎ】  darnel (Lolium temulentum)

  米  【こめ】  (husked grains of) rice, 88 years old
  米屋  【こめや】  rice shop, rice dealer
  お米  【おこめ】  (husked grains of) rice
  アルボリオ米  【アルボリオこめ】  arborio rice (Italian variety)
  米  【こめ】  (husked grains of) rice, 88 years old
  米沢牛  【よねざわぎゅう】  Yonezawa beef



  色  【いろ】  colour, color, hue, tint, tinge, shade, complexion, skin colour, skin color, look (on one's face), expression, appearance, air, feeling, personality, character, tone (of one's voice, etc.), tune, sound, ring, love, lust, sensuality, love affair, lover, paramour, beauty, sexiness, physical appeal, kind, type, variety
  色々  【いろいろ】  various, all sorts of, variety of, various colors (colours)
  色々  【いろいろ】  various, all sorts of, variety of, various colors (colours)
  音色  【ねいろ】  tone color, tone colour, tone quality, timbre

  黄  【き】  yellow
  黄色  【きいろ】  yellow, amber
  海気  【かいき】  sea air, sea breeze, ocean and atmosphere, type of yarn-dyed silk goods

  黒  【くろ】  black, black go stone, guilt, guilty person
  黒い  【くろい】  black, dark, blackish, sun-tanned (skin), suspicious, criminal, illicit, darkened and dirty, sooty, covered in dirt, evil, wicked, black-hearted, inauspicious, ill-boding, unlucky
  黒ずむ  【くろずむ】  to blacken, to darken
  黒い  【くろい】  black, dark, blackish, sun-tanned (skin), suspicious, criminal, illicit, darkened and dirty, sooty, covered in dirt, evil, wicked, black-hearted, inauspicious, ill-boding, unlucky
  黒い霧  【くろいきり】  thick fog (of suspicion), black veil of secrecy, covered-up crime, unethical act, etc.

  来る  【くる】  to come (spatially or temporally), to approach, to arrive, to come back, to do ... and come back, to come to be, to become, to get, to grow, to continue, to come from, to be caused by, to derive from, to come to (i.e. "when it comes to spinach ...")
  来る日も来る日も  【くるひもくるひも】  day after day, day in and day out, every single day
  来る  【きたる】  next (e.g. "next April"), forthcoming, coming, to come, to arrive, to be due to
  来るべき  【きたるべき】  expected to arrive (occur) in the near future
  来す  【きたす】  to cause, to induce, to bring about a result or state, to produce
  来す  【きたす】  to cause, to induce, to bring about a result or state, to produce
  来る  【きたる】  next (e.g. "next April"), forthcoming, coming, to come, to arrive, to be due to
  来るべき  【きたるべき】  expected to arrive (occur) in the near future
  来す  【きたす】  to cause, to induce, to bring about a result or state, to produce
  来次第  【きしだい】  as soon as (he, she, it) comes
  上出来  【じょうでき】  good performance, good work, great success
  不出来  【ふでき】  bad job, poor workmanship, bungle
  来い  【こい】  come!, imperative form of the verb "kuru" ("to come"), expressing a command or strong request
  来し方  【きしかた】  the past

  行く  【いく】  to go, to move (in a direction or towards a specific location), to head (towards), to be transported (towards), to reach, to proceed, to take place, to pass through, to come and go, to walk, to die, to pass away, to do (in a specific way), to stream, to flow, to continue, to have an orgasm, to come, to cum, to trip, to get high, to have a drug-induced hallucination
  行く先  【ゆくさき】  destination, whereabouts, future, prospects
  行く  【いく】  to go, to move (in a direction or towards a specific location), to head (towards), to be transported (towards), to reach, to proceed, to take place, to pass through, to come and go, to walk, to die, to pass away, to do (in a specific way), to stream, to flow, to continue, to have an orgasm, to come, to cum, to trip, to get high, to have a drug-induced hallucination
  行方  【ゆくえ】  (one's) whereabouts, outcome
  行う  【おこなう】  to perform, to do, to conduct oneself, to carry out
  行う  【おこなう】  to perform, to do, to conduct oneself, to carry out

  帰る  【かえる】  to return, to come home, to go home, to go back, to leave, to get home, to get to home plate
  帰す  【かえす】  to send (someone) back, to send (someone) home

  歩く  【あるく】  to walk
  歩む  【あゆむ】  to walk, to go on foot

  走る  【はしる】  to run, to travel (movement of vehicles), to drive, to flow (e.g. energy), to hurry to, to retreat (from battle), to take flight, to run away from home, to elope, to tend heavily toward, to flash, to streak, to shoot through (e.g. pain)

  止まる  【とまる】  to stop (moving), to come to a stop, to stop (doing, working, being supplied), to come to a halt, to cease, to be stopped, to be suspended, to alight, to perch on
  止める  【とめる】  to stop, to turn off, to park, to prevent, to suppress (a cough), to hold back (tears), to hold (one's breath), to relieve (pain), to stop (someone from doing something), to dissuade, to forbid, to prohibit, to notice, to be aware of, to concentrate on, to pay attention to, to remember, to bear in mind, to fix (in place), to fasten, to tack, to pin, to nail, to button, to staple, to detain, to keep in custody
  留める  【とどめる】  to stop, to stay (e.g. the night), to cease, to put an end to, to contain, to keep (in position, in place), to limit, to record (e.g. a fact), to retain
  止め  【とどめ】  finishing blow, clincher
  留める  【とどめる】  to stop, to stay (e.g. the night), to cease, to put an end to, to contain, to keep (in position, in place), to limit, to record (e.g. a fact), to retain
  止まる  【とどまる】  to remain, to abide, to stay (in the one place), to be limited to, to be confined to
  とどまるところを知らない  【とどまるところをしらない】  knowing no bounds, showing no signs of stopping or slowing down
  止める  【やめる】  to stop (an activity), to cease, to discontinue, to end, to quit, to cancel, to abandon, to give up, to abolish, to abstain, to refrain
  止む  【やむ】  to cease, to stop, to be over
  やむを得ない  【やむをえない】  cannot be helped, unavoidable
  止す  【よす】  to cease, to desist, to cut it out, to lay off (an activity), to drop (a subject) to abolish, to resign, to give up

  生きる  【いきる】  to live, to exist, to make a living, to subsist, to be in effect, to be in use, to function, to come to life, to be enlivened, to be safe (in baseball, go, etc.)
  生かす  【いかす】  to make (the best) use of, to leverage (skills, attributes, experience, etc.), to capitalise on (experience, etc), to let live, to keep alive, to revive, to resuscitate
  生ける  【いける】  to arrange (flowers), to plant, living, live

  店  【みせ】  store, shop, establishment, restaurant
  店先  【みせさき】  storefront, shopfront
  酒店  【さかだな】  alcohol-selling shop
  茶店  【さてん】  tea house
  店  【たな】  merchant's home, rented home, store, shop
  店子  【たなこ】  tenant (esp. in contrast to a landlord), renter
  お店  【おたな】  merchant's home (esp. used by apprentices, etc.), (your) rental home

  買う  【かう】  to buy, to purchase, to value, to have a high opinion, to stir, to provoke

  売る  【うる】  to sell
  売れる  【うれる】  to sell (well), to be well known, to be popular, to be famous

  午  【うま】  seventh sign of Chinese zodiac (The Horse, 11am-1pm, south, May)
  午年  【うまどし】  year of the horse
  庚午  【かのえうま】  seventh of the sexagenary cycle
  甲午  【きのえうま】  31st of the sexagenary cycle



  弓  【ゆみ】  bow (and arrow), archery, bow (for a violin, etc.)
  弓なり  【ゆみなり】  bow shape, arc, arch, segment (of a circle)
  大弓  【だいきゅう】  bow, longbow
  上げ弓  【あげゆみ】  up-bow (technique used when playing a string instrument)

  回る  【まわる】  to turn, to revolve, to visit several places, to function well, to pass a certain time
  回す  【まわす】  to turn, to rotate, to gyrate, to circulate, to send around, to surround, to put something to a new use (e.g. leftovers), ... around (e.g. to chase someone around), to dial (e.g. telephone number), to invest, to gang-rape
  回る  【もとおる】  to wander around

  会う  【あう】  to meet, to encounter, to see, to have an accident, to have a bad experience
  会う約束  【あうやくそく】  appointment, rendezvous, date
  会わせる  【あわせる】  to make (someone) to meet, to let (someone) meet, to expose to, to subject to

  組む  【くむ】  to cross (legs or arms), to link (arms), to put together, to construct, to assemble, to produce (e.g. TV program), to braid, to plait, to grapple, to wrestle, to unite, to join, to link up, to form an alliance, to set (e.g. type), to issue (e.g. money order)
  組  【くみ】  set (of items), group (of people), class (of students), company (esp. construction), family (i.e. mafia), team, typesetting, composition
  組合  【くみあい】  association, union, guild
  労組  【ろうそ】  labor union, labour union, trade union
  １０個１組  【じっこひとくみ】  decade

  船  【ふね】  ship, boat, watercraft, vessel, steamship, tank, tub, vat, trough, counter for boat-shaped containers (e.g. of sashimi)
  船貝  【ふねがい】  Arca avellana (species of ark shell)
  大船  【おおぶね】  large boat
  釣り船  【つりぶね】  fishing boat

  明かり  【あかり】  light, illumination, glow, gleam, lamp, light
  明かり窓  【あかりまど】  transom, skylight, dormer window
  明るい  【あかるい】  light, well-lit, well-lighted, bright (of a colour), brightly-coloured, brightly-colored, cheerful, bright, spirited, sunny (e.g. disposition), encouraging (for the future of a project, etc.), promising, of fair prospects, familiar (with), knowledgeable (about), well versed (in), fair (e.g. politics), clean, impartial
  明るむ  【あかるむ】  to brighten, to grow light
  明らむ  【あからむ】  to become luminous at dawn (esp. the sky)
  明らか  【あきらか】  obvious, evident, clear, plain
  明らかにする  【あきらかにする】  to make clear, to clarify, to disclose, to make public
  開ける  【あける】  to open (a door, etc.), to unwrap (e.g. parcel, package), to unlock, to open (for business, etc.), to empty, to remove, to make space, to make room, to move out, to clear out, to be away from (e.g. one's house), to leave (temporarily), to dawn, to grow light, to end (of a period, season), to begin (of the New Year), to leave (one's schedule) open, to make time (for), to make (a hole), to open up (a hole)
  開く  【あく】  to open (e.g. doors), to open (e.g. business, etc.), to be empty, to be vacant, to be available, to be free, to be open (e.g. neckline, etc.), to have been opened (of one's eyes, mouth, etc.), to come to an end, to open (one's eyes, mouth, etc.), to have a hole, to form a gap, to have an interval (between events)
  明くる  【あくる】  next, following
  明くる  【あくる】  next, following
  明くる日  【あくるひ】  next day, following day
  明かす  【あかす】  to pass (the night), to spend, to reveal, to divulge, to disclose, to expose, to prove, to verify

  社  【やしろ】  shrine (usually Shinto)
  大社  【たいしゃ】  grand shrine, famous shrine, Izumo Grand Shrine
  村のお社  【むらのおやしろ】  village shrine

  切る  【きる】  to cut, to cut through, to perform (surgery), to sever (connections, ties), to turn off (e.g. the light), to terminate (e.g. a conversation), to hang up (the phone), to disconnect, to punch (a ticket), to tear off (a stub), to open (something sealed), to start, to set (a limit), to do (something) in less or within a certain time, to issue (stamps, vouchers, etc.), to reduce, to decrease, to discount, to shake off (water, etc.), to let drip-dry, to let drain, to cross, to traverse, to criticize sharply, to act decisively, to do (something noticeable), to go first, to make (certain facial expressions, in kabuki), to turn (a vehicle), to curl (a ball), to bend, to cut, to shuffle (cards), to discard a tile, to dismiss, to sack, to let go, to expulse, to excommunicate, to dig (a groove), to cut (a stencil, on a mimeograph), to trump, to cut (the connection between two groups) (in go), to start a fire (with wood-wood friction or by striking a metal against stone), to draw (a shape) in the air (with a sword, etc.), to finish, to complete
  切り  【きり】  end, finish, stop, bounds, limits, delivery date (of a futures contract), finale (of a noh song), end of an act (in jōruri or kabuki), final performance of the day (in vaudeville), counter for slices (esp. thick slices), counter for cuts (e.g. fish, meat), only, just, since, after, remaining (in a particular state)
  切り抜き  【きりぬき】  clipping (of newspaper article, etc.), cutting, scrap (for a scrapbook), cut-out (picture, coloured paper, etc.)
  踏切  【ふみきり】  railway crossing, railroad crossing, train crossing, level crossing, starting line, scratch, determination, stepping over the edge of the ring
  爪切り  【つめきり】  nail clippers
  切れる  【きれる】  to break, to snap, to be cut, to split, to crack, to be injured, to wear out, to be worn out, to break, to burst, to collapse, to wear off, to stop working, to go dead, to expire (time limit, etc.), to run out, to become due, to run out (of stock, etc.), to be exhausted, to be used up, to be sold out, to be out of, to be broken off (e.g. of a relationship), to break up, to have severed ties, to be cut off, to be disconnected, to cut well, to be sharp, to be sharp-minded, to be keen, to be shrewd, to be quick-witted, to be able, to be short of, to drop under (a certain figure), to beat (e.g. a record time), to dry off, to curve, to veer, to shuffle (cards), to get angry, to snap, to blow one's top, to lose one's temper, to flip, to be able to do completely
  切れ  【きれ】  piece, slice, strip, scrap, cloth, sharpness, counter for scraps, pieces, etc.
  切れる  【きれる】  to break, to snap, to be cut, to split, to crack, to be injured, to wear out, to be worn out, to break, to burst, to collapse, to wear off, to stop working, to go dead, to expire (time limit, etc.), to run out, to become due, to run out (of stock, etc.), to be exhausted, to be used up, to be sold out, to be out of, to be broken off (e.g. of a relationship), to break up, to have severed ties, to be cut off, to be disconnected, to cut well, to be sharp, to be sharp-minded, to be keen, to be shrewd, to be quick-witted, to be able, to be short of, to drop under (a certain figure), to beat (e.g. a record time), to dry off, to curve, to veer, to shuffle (cards), to get angry, to snap, to blow one's top, to lose one's temper, to flip, to be able to do completely
  布切れ  【ぬのぎれ】  piece of cloth



  毎  【ごと】  each, every
  毎に  【ごとに】  one by one, each, every, at intervals of
  月ごと  【つきごと】  monthly
  戸ごと  【こごと】  from door to door

  合う  【あう】  to come together, to merge, to unite, to meet, to fit, to match, to suit, to agree with, to be correct, to be profitable, to be equitable, to do ... to each other, to do ... together
  合い  【あい】  between-season wear, spring and autumn clothing, spring and fall clothing, together, condition, situation, state, -ish
  合図  【あいず】  sign, signal, cue
  具合  【ぐあい】  condition, state, health, state (of health), way, manner, circumstance, luck, face, dignity, decency, propriety
  意味合い  【いみあい】  implication, nuance, shade of meaning, connotation
  合わす  【あわす】  to match (rhythm, speed, etc.), to join together, to unite, to combine, to add up, to face, to be opposite (someone), to compare, to check with, to cause to meet (e.g. an unpleasant fate), to place together, to connect, to overlap, to mix, to combine, to put blade to blade, to fight
  合わせる  【あわせる】  to match (rhythm, speed, etc.), to join together, to unite, to combine, to add up, to face, to be opposite (someone), to compare, to check with, to cause to meet (e.g. an unpleasant fate), to place together, to connect, to overlap, to mix, to combine, to put blade to blade, to fight
  合わせる顔がない  【あわせるかおがない】  too ashamed to meet, having no face to meet

  当たる  【あたる】  to be hit, to strike, to touch, to be in contact, to be affixed, to be equivalent to, to be applicable, to apply to, to be right on the money (of a prediction, criticism, etc.), to be selected (in a lottery, etc.), to win, to be successful, to go well, to be a hit, to face, to confront, to lie (in the direction of), to undertake, to be assigned, to be stricken (by food poisoning, heat, etc.), to be afflicted, to be called upon (by the teacher), to treat (esp. harshly), to lash out at, to be unnecessary, to be hitting well, to be on a hitting streak, (in fishing) to feel a bite, (of fruit, etc.) to be bruised, to spoil, to feel (something) out, to probe into, to check (i.e. by comparison), to shave, to be a relative of a person, to stand in a relationship
  当たり  【あたり】  hit, success, guess, prediction, affability, friendliness, sensation, touch, bruise (on fruit), situation in which a stone or chain of stones may be captured on the next move (in the game of go), bite (of a fish on a hook), strike, per, each
  当たり前  【あたりまえ】  natural, reasonable, obvious, usual, common, ordinary, commonplace, the norm
  当てる  【あてる】  to hit, to expose, to apply (e.g. patch), to put on, to put against, to hold on, to hold against, to allot, to call on someone (e.g. in class), to guess (an answer), to make a hit (e.g. in a lottery)
  当て  【あて】  aim, object, purpose, end, expectations, prospects, hopes, something that can be relied upon, snack served with alcoholic drink, pad, guard, blow, strike, addressed to, per
  当てる  【あてる】  to hit, to expose, to apply (e.g. patch), to put on, to put against, to hold on, to hold against, to allot, to call on someone (e.g. in class), to guess (an answer), to make a hit (e.g. in a lottery)
  引き当て  【ひきあて】  mortgage, security
  胴当て  【どうあて】  slip-guard (on one side of the body of a shamisen)
  正に  【まさに】  exactly, surely, certainly, right then, just then, at that moment, just (about to), on the verge (of doing or happening), duly, naturally

  台  【うてな】  tower, stand, pedestal, calyx
  弾正台  【だんじょうだい】  Imperial Prosecuting and Investigating Office (1869-1871 CE), Imperial Prosecuting and Investigating Office (under the ritsuryo system)

  楽しい  【たのしい】  enjoyable, fun, pleasant, happy, delightful
  楽しい思い出  【たのしいおもいで】  happy memory, sweet memory
  楽しむ  【たのしむ】  to enjoy (oneself)

  公  【おおやけ】  official, governmental, formal, public (use, facility, etc.), common, public (matter, place, etc.), (out in the) open
  公にする  【おおやけにする】  to make public

  引く  【ひく】  to pull, to tug, to lead (e.g. a horse), to draw (attention, sympathy, etc.), to attract (e.g. interest), to draw back (e.g. one's hand), to draw in (one's chin, stomach, etc.), to pull in, to draw (a card, mahjong tile, etc.), to draw (a line, plan, etc.), to catch (a cold), to play (a stringed or keyboard instrument), to look up (e.g. a dictionary), to consult, to haul, to pull (vehicles), to subtract, to deduct, to recede, to ebb, to fade, to be descend from, to inherit (a characteristic), to quote, to cite, to raise (as evidence), to lay on (electricity, gas, etc.), to install (e.g. a telephone), to supply (e.g. water), to hold (e.g. a note), to apply (e.g. lipstick), to oil (e.g. a pan), to wax (e.g. a floor), to move back, to draw back, to recede, to lessen, to subside, to ebb, to resign, to retire, to quit
  引く手  【ひくて】  admirer, inducer
  引き  【ひき】  pull, patronage, influence, tug, discount
  引っ越す  【ひっこす】  to move (house), to change residence
  駆け引き  【かけひき】  bargaining, haggling, tactics, strategy
  代引き  【だいびき】  cash on delivery, COD
  引ける  【ひける】  to close, to be over, to break up (e.g. school), to lose one's nerve, to feel daunted



  歌  【うた】  song, classical Japanese poetry (esp. tanka), modern poetry
  歌う  【うたう】  to sing, to sing (one's praises in a poem, etc.), to compose a poem, to recite a poem
  子守唄  【こもりうた】  lullaby
  短歌  【たんか】  tanka, 31-mora Japanese poem
  歌う  【うたう】  to sing, to sing (one's praises in a poem, etc.), to compose a poem, to recite a poem
  歌うたい  【うたうたい】  singer, vocalist, nagauta singer (in kabuki), singer of Noh chants

  刀  【かたな】  (single-edged) sword, katana, dagger, knife, scalpel, chisel, burin, graver, knife money, knife-shaped commodity money used in Zhou dynasty China
  刀折れ矢尽きて  【かたなおれやつきて】  having exhausted every available means, having broken one's sword and exhausted one's arrows
  一刀  【いっとう】  sword, blade, single stroke
  剃刀  【かみそり】  razor
  オッカムの剃刀  【オッカムのかみそり】  Occam's razor, Ockham's razor

  番い  【つがい】  (one) pair (e.g. of birds), brace, couple, joint, hinge
  手番  【てつがい】  plan, arrangements

  用いる  【もちいる】  to use, to make use of, to utilize, to utilise

  何  【なに】  what, how many, you-know-what, that, whatsit, what's the expression, what do you call them, what?, hey!
  何方  【どちら】  which way, which direction, where, which one (esp. of two alternatives), who
