  久しい  【ひさしい】  long (time), long-continued, old (story)
  解ける  【ほどける】  to come lose, to come untied, to come undone, to unravel, to loosen up (e.g. tension)
  分かる  【わかる】  to understand, to comprehend, to grasp, to see, to get, to follow, to become clear, to be known, to be discovered, to be realized, to be realised, to be found out

  設ける  【もうける】  to prepare ahead of time, to create, to establish

  許す  【ゆるす】  to permit, to allow, to approve, to tolerate, to exempt (from fine), to excuse (from), to pardon, to forgive, to release, to let off, to confide in, to give up, to yield
  許すまじ  【ゆるすまじ】  to be unforgivable, to never forgive something
  下  【もと】  under (esp. influence or guidance)
  耳元  【みみもと】  close to the ear
  胸元  【むなもと】  breast, chest, pit of the stomach, solar plexus, epigastrium

  証  【あかし】  proof (e.g. of love, of innocence), evidence, testimony, vindication (of innocence), license, membership card, permit, to testify (usu. Christian religious context)





  謝る  【あやまる】  to apologize, to apologise

  知る  【しる】  to be aware of, to know, to be conscious of, to cognize, to cognise, to notice, to feel, to understand, to comprehend, to grasp, to remember, to be acquainted with (a procedure), to experience, to go through, to learn, to be acquainted with (a person), to get to know, to concern
  記す  【しるす】  to write down, to note, to jot down, to remember
  記す  【しるす】  to write down, to note, to jot down, to remember

  守る  【まもる】  to protect, to guard, to defend, to keep (i.e. a promise), to abide (by the rules), to observe, to obey, to follow

  豊か  【ゆたか】  abundant, wealthy, plentiful, rich, affluent, very, extremely, full of, great
  豊かの海  【ゆたかのうみ】  Mare Fecunditatis (lunar mare), Sea of Fertility
  豊葦原瑞穂国  【とよあしはらのみずほのくに】  Japan
  豊受大神宮  【とようけだいじんぐう】  Toyouke Shrine (the outer shrine of Ise Shrine), Toyuke Shrine

  宝  【たから】  treasure

  貧しい  【まずしい】  poor, needy, lacking (quantity and quality-wise), poor, scanty, skimpy, slight, inadequate
  貧しい家  【まずしいいえ】  poor family

  責める  【せめる】  to condemn, to blame, to criticize, to criticise, to reproach, to accuse, to urge, to press, to pester, to torture, to torment, to persecute, to break in (a horse)

  貸す  【かす】  to lend, to loan, to rent out, to hire out









  質  【たち】  quality, nature (of person)
  質の悪い  【たちのわるい】  nasty, poor (quality), mean, vicious
  質す  【ただす】  to enquire of someone about something (inquire), to question



  述べる  【のべる】  to state, to express, to mention

  迷う  【まよう】  to lose one's way, to waver, to hesitate, to be of two minds over, to be puzzled, to be perplexed, to give into temptation, to lose control of oneself, to turn in one's grave

  退く  【しりぞく】  to step back, to move back, to retreat, to withdraw (from the presence of a superior), to leave, to exit, to resign, to retire, to quit, to concede
  退ける  【しりぞける】  to repel, to drive away, to repulse, to reject
  退く  【ひく】  to move back, to draw back, to recede, to lessen, to subside, to ebb, to resign, to retire, to quit
  退く  【どく】  to step aside, to move (i.e. out of the way), to make way, to resign, to retire, to quit, to secede
  退ける  【のける】  to put something out of the way, to move (something, someone) aside, to remove, to exclude, to take away, to set aside, to keep apart, to remove (someone) from the group, to shun, to do well despite difficulties, to accomplish despite adversity, to do resolutely, to do boldly
  退く  【どく】  to step aside, to move (i.e. out of the way), to make way, to resign, to retire, to quit, to secede

  逆  【さか】  inverse, reverse
  逆らう  【さからう】  to go against, to oppose, to disobey, to defy
  逆さ  【さかさ】  inverted, upside down, reversed, back to front
  逆さま  【さかさま】  inverted, upside down, reversed, back to front
  逆らう  【さからう】  to go against, to oppose, to disobey, to defy

  作る  【つくる】  to make, to produce, to manufacture, to build, to construct, to prepare (food), to brew (alcohol), to raise, to grow, to cultivate, to train, to till, to draw up (a document), to make out, to prepare, to write, to create (an artistic work, etc.), to compose, to coin (a phrase), to organize, to organise, to establish, to found, to have (a child), to make up (one's face, etc.), to fabricate (an excuse, etc.), to form (a line, etc.), to set (a record), to commit (a sin, etc.)
  造り  【つくり】  make-up, structure, physique
  作り上げる  【つくりあげる】  to build up, to complete, to construct, to create, to put together, to make up, to fabricate, to invent, to cook up
  塚造  【つかつくり】  megapode (any bird of family Megapodiidae, incl. brush turkeys and mallee fowl), mound builder

  過ぎる  【すぎる】  to pass through, to pass by, to go beyond, to pass (i.e. of time), to elapse, to have expired, to have ended, to be over, to exceed, to surpass, to be above, to be no more than ..., to be excessive, to be too much, to be too ...
  過ごす  【すごす】  to pass (time), to spend, to overdo (esp. of one's alcohol consumption), to drink (alcohol), to take care of, to support, to overdo, to do too much, to ... without acting on it
  過つ  【あやまつ】  to err
  過ち  【あやまち】  fault, error, indiscretion, faux pas
  過ちを犯す  【あやまちをおかす】  to make an error
  過ぎる  【よぎる】  to go by, to cross, to pass by, to float across

  叶う  【かなう】  to come true (of a wish, prayer, etc.), to be realized, to be fulfilled, to suit (e.g. a purpose), to meet (wishes, ideals, etc.), to conform to (standards, rules, etc.), to be consistent with, to match (implies competition), to rival, to bear (e.g. the heat)

  酸い  【すい】  sour, acid
  酸いも甘いも噛み分ける  【すいもあまいもかみわける】  to be experienced in the ways of the world, to taste the bitter and the sweet

  粗金  【あらがね】  ore

  銅  【どう】  copper (Cu), bronze (medal)
  銅酵母  【あかがねこうぼ】  copper yeast, copper-enriched yeast

  銭  【ぜに】  round coin with a (square) hole in the center, coin made of non-precious materials, money
  銭葵  【ぜにあおい】  common mallow (Malva sylvestris var. mauritiana)
  身銭  【みぜに】  one's own money
  日銭  【ひぜに】  daily income in cash, money paid by daily installments, money paid by daily instalments

  防ぐ  【ふせぐ】  to defend against, to protect against, to prevent, to avert, to avoid

  限る  【かぎる】  to restrict, to limit, to confine, to be restricted to, to be limited to, to be confined to
  限り  【かぎり】  limit, limits, bounds, degree, extent, scope, as far as possible, as much as possible, to the best of one's ability, very much, unless (after neg. verb), the end, the last, as long as, only
  限り有る  【かぎりある】  finite, limited
  中限  【なかぎり】  next-month delivery

  険しい  【けわしい】  precipitous, rugged, inaccessible, impregnable, steep, grim, severe, stern
  険しい山  【けわしいやま】  steep mountain, craggy mountain

  際  【きわ】  edge, brink, verge, side, time, moment of
  際立つ  【きわだつ】  to be prominent, to be conspicuous
  今際の際  【いまわのきわ】  verge of death, dying moments

  交える  【まじえる】  to mix, to combine, to exchange (words, fire, etc.), to cross (e.g. swords), to join together
  混じる  【まじる】  to be mixed, to be blended with, to associate with, to mingle with, to interest, to join

  非ず  【あらず】  it is not so, no, never mind
  非ずんば  【あらずんば】  if not

  預ける  【あずける】  to give into custody, to leave (a child) in the care of, to entrust, to deposit, to lean on, to put one's weight on
  預かる  【あずかる】  to look after, to take care of, to keep, to hold on to, to keep in custody, to take charge of, to be entrusted with, to receive on deposit, to reserve (judgment), to leave undecided

  襟  【えり】  collar, lapel, neckband, neck, nape of the neck, scruff of the neck
  襟足  【えりあし】  nape of neck, border of hair at back of neck
  盤領  【まるえり】  round collar (of traditional Japanese clothing)

  額  【ひたい】  forehead, brow
  額烏帽子  【ひたいえぼし】  black silk or paper triangle worn over the forehead (usu. worn by children)
  広い額  【ひろいひたい】  high brow, broad forehead

  飼う  【かう】  to keep (a pet or other animal), to raise, to have, to own, to feed

